"Month","Type","Number","Title","Type2","URL"
1985-02-28,"Law","Decreto Ley 15721","APROBACION DEL CONVENIO SOBRE IGUALDAD DE TRATO PROCESAL ENTRE URUGUAY Y PERU","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15721-1985"
1985-02-28,"Law","Decreto Ley 15720","APROBACION DEL CONVENIO SOBRE RESTITUCION INTERNACIONAL DE MENORES ENTRE URUGUAY Y PERU","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15720-1985"
1985-02-28,"Law","Decreto Ley 15719","APROBACION DEL CONVENIO SOBRE RECLAMACION INTERNACIONAL Y EJECUCION DE SENTENCIA EN MATERIA DE ALIMENTOS ENTRE URUGUAY Y PERU","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15719-1985"
1985-02-28,"Law","Decreto Ley 15718","APROBACION DEL PROTOCOLO SOBRE EL SUMINISTRO DE MAQUINARIA Y EQUIPO DE LA UNION DE LAS REPUBLICAS SOCIALISTAS SOVIETICAS A LA REPUBLICA ORIENTAL DEL URUGUAY","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15718-1985"
1985-02-28,"Law","Decreto Ley 15717","PUEBLO MONES QUINTELA. ARTIGAS","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15717-1985"
1985-02-28,"Law","Decreto Ley 15716","FIJACION DEL MONOPOLIO DEL JUEGO DE QUINIELAS EJERCIDO POR LA DIRECCION DE LOTERIAS Y QUINIELAS Y CREACION DE UN GRAVAMEN A LAS MISMAS","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15716-1985"
1985-02-28,"Law","Ley Especial 14","FIJACION DE NORMAS SOBRE JUBILACIONES DE FUNCIONARIOS DOCENTES EN INSTITUTOS MILITARES","(Documento actualizado)","https://www.impo.com.uy/bases/leyes-especial/14-1985"
1985-03-31,"Law","Ley 15739","APROBACION DE LA LEY DE EMERGENCIA PARA LA ENSEÑANZA EN GENERAL","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15739-1985"
1985-03-31,"Law","Ley 15738","CONVALIDACION DE LOS ACTOS LEGISLATIVOS DICTADOS POR EL CONSEJO DE ESTADO DESDE EL 19 DE DICIEMBRE DE 1973 HASTA EL 14 DE FEBRERO DE 1985, EXCEPTO LAS DECLARACIONES DE NULIDAD Y LAS DEROGACIONES QUE SE DETERMINAN","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15738-1985"
1985-03-31,"Law","Ley 15737","LEY DE AMNISTIA. APROBACION DE LA CONVENCION AMERICANA SOBRE DERECHOS HUMANOS LLAMADA PACTO DE SAN JOSE DE COSTA RICA. CREACION DE LA COMISION NACIONAL DE REPATRIACION","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15737-1985"
